il kodu,il,0,1,2,3,4,5,6,7,8,9,10,11,12
46,Kahramanmaraş,Ortalama En Düşük Sıcaklık (°C),1.4,2.5,5.8,9.9,14.1,18.7,22.2,22.3,18.5,13.0,7.2,3.4
46,Kahramanmaraş,Ortalama Güneşlenme Süresi (saat),3.3,4.0,5.5,6.6,8.1,10.0,10.5,9.8,8.7,6.6,4.5,3.2
46,Kahramanmaraş,Ortalama Yağışlı Gün Sayısı,10.3,10.45,10.25,9.23,6.86,2.11,0.41,0.37,1.79,5.51,7.07,10.03
46,Kahramanmaraş,Aylık Toplam Yağış Miktarı Ortalaması  (mm),124.0,112.2,95.1,73.0,38.8,8.6,2.7,2.2,11.0,45.4,78.0,130.6
46,Kahramanmaraş,En Yüksek Sıcaklık (°C),18.7,25.3,29.8,36.0,39.3,42.0,45.2,47.2,42.5,38.6,29.6,24.0
46,Kahramanmaraş,En Düşük Sıcaklık (°C),-9.0,-9.6,-7.6,-1.8,4.7,6.6,12.4,12.5,4.0,0.0,-4.4,-7.6
47,Mardin,Ortalama Sıcaklık (°C),3.1,4.2,8.0,13.5,19.5,25.6,29.8,29.7,25.4,18.7,11.1,5.5
47,Mardin,Ortalama En Yüksek Sıcaklık (°C),5.9,7.4,11.6,17.4,24.0,30.6,35.1,34.8,30.2,22.9,14.6,8.2
47,Mardin,Ortalama En Düşük Sıcaklık (°C),0.6,1.4,4.7,9.8,15.1,20.3,24.6,24.8,20.9,14.7,8.1,3.0
47,Mardin,Ortalama Güneşlenme Süresi (saat),4.5,5.2,5.9,7.3,9.7,12.1,12.4,11.4,10.3,7.7,5.9,4.4
47,Mardin,Ortalama Yağışlı Gün Sayısı,12.02,10.58,11.67,10.28,7.34,1.52,0.47,0.24,0.71,5.13,7.71,10.8
47,Mardin,Aylık Toplam Yağış Miktarı Ortalaması  (mm),114.9,102.9,97.6,80.7,46.8,6.5,3.2,2.3,3.9,33.4,72.8,108.5
47,Mardin,En Yüksek Sıcaklık (°C),19.4,19.5,27.5,33.6,36.1,40.0,42.5,42.0,40.5,35.6,26.1,24.1
47,Mardin,En Düşük Sıcaklık (°C),-13.4,-14.0,-11.7,-5.3,2.6,0.6,11.8,12.8,8.0,-2.5,-9.5,-11.9
48,Muğla,Ortalama Sıcaklık (°C),5.3,6.1,8.5,12.7,17.7,22.8,26.4,26.3,21.9,16.2,10.8,7.0
48,Muğla,Ortalama En Yüksek Sıcaklık (°C),9.8,11.0,14.1,18.9,24.3,29.6,33.5,33.6,29.3,23.2,16.7,11.6
48,Muğla,Ortalama En Düşük Sıcaklık (°C),1.6,1.9,3.5,7.0,11.4,16.1,19.7,19.6,15.3,10.3,5.9,3.2
48,Muğla,Ortalama Güneşlenme Süresi (saat),3.4,4.4,5.7,7.3,8.7,10.5,11.4,10.9,9.4,6.7,4.6,3.3
48,Muğla,Ortalama Yağışlı Gün Sayısı,14.89,12.22,10.5,8.63,7.46,3.79,1.51,1.4,2.68,6.3,9.73,14.49
48,Muğla,Aylık Toplam Yağış Miktarı Ortalaması  (mm),245.5,176.5,122.0,64.0,51.0,24.6,11.6,14.6,23.0,72.1,137.0,264.2
48,Muğla,En Yüksek Sıcaklık (°C),20.9,25.5,28.8,31.6,39.4,40.8,42.1,41.2,39.2,36.8,29.0,23.8
48,Muğla,En Düşük Sıcaklık (°C),-12.6,-9.9,-8.5,-3.6,1.0,6.7,10.5,9.0,5.6,0.1,-7.0,-9.0
49,Muş,Ortalama Sıcaklık (°C),-7.0,-5.6,1.2,9.2,14.8,20.1,25.0,25.1,20.2,12.8,4.8,-2.5
49,Muş,Ortalama En Yüksek Sıcaklık (°C),-2.9,-1.1,6.0,14.9,21.3,27.6,33.0,33.2,28.4,20.0,10.1,1.3
49,Muş,Ortalama En Düşük Sıcaklık (°C),-10.6,-9.4,-2.7,4.4,8.9,12.8,17.1,17.1,12.4,7.0,0.7,-5.6
49,Muş,Ortalama Güneşlenme Süresi (saat),1.9,2.8,4.2,5.7,7.9,10.2,10.8,10.4,9.1,6.2,3.6,2.0
49,Muş,Ortalama Yağışlı Gün Sayısı,13.6,12.15,14.42,14.33,14.08,6.33,2.07,1.55,2.93,9.18,9.75,12.45
49,Muş,Aylık Toplam Yağış Miktarı Ortalaması  (mm),88.4,96.8,108.5,102.5,69.0,26.9,7.6,5.7,15.3,62.9,87.9,88.1
49,Muş,En Yüksek Sıcaklık (°C),10.2,15.0,22.8,30.0,32.2,37.4,41.6,41.2,37.0,30.6,22.8,16.0
49,Muş,En Düşük Sıcaklık (°C),-32.6,-34.4,-31.4,-10.2,-2.4,2.2,3.6,8.0,0.0,-3.0,-25.8,-32.0
50,Nevşehir,Ortalama Sıcaklık (°C),-0.2,0.9,4.9,10.1,14.5,18.3,21.3,21.2,17.3,12.1,6.7,2.1
50,Nevşehir,Ortalama En Yüksek Sıcaklık (°C),3.9,5.5,10.2,15.9,20.6,24.8,28.5,28.6,24.5,18.3,11.8,6.2
50,Nevşehir,Ortalama En Düşük Sıcaklık (°C),-3.7,-2.7,0.6,5.1,8.8,11.6,13.6,13.5,10.4,6.8,2.4,-1.3
50,Nevşehir,Ortalama Güneşlenme Süresi (saat),3.2,4.2,5.3,6.6,8.4,10.5,11.9,11.3,9.4,6.5,4.6,3.1
50,Nevşehir,Ortalama Yağışlı Gün Sayısı,12.34,12.18,13.14,12.46,12.85,8.26,2.32,1.69,3.45,7.06,8.65,12.26
50,Nevşehir,Aylık Toplam Yağış Miktarı Ortalaması  (mm),45.7,40.9,47.8,50.3,56.8,37.8,9.8,7.8,13.8,28.5,34.3,48.7
50,Nevşehir,En Yüksek Sıcaklık (°C),19.8,19.6,28.0,31.6,32.6,35.0,39.5,38.2,37.4,32.0,27.6,23.0
50,Nevşehir,En Düşük Sıcaklık (°C),-21.2,-23.6,-18.0,-12.5,-2.3,1.3,3.8,3.1,-1.2,-7.6,-14.0,-19.5
51,Niğde,Ortalama Sıcaklık (°C),-0.3,1.1,5.1,10.6,15.1,19.2,22.5,22.4,18.1,12.6,6.6,1.9
51,Niğde,Ortalama En Yüksek Sıcaklık (°C),4.9,6.5,10.9,16.8,21.5,25.8,29.4,29.7,25.7,19.7,13.1,7.2
51,Niğde,Ortalama En Düşük Sıcaklık (°C),-4.6,-3.4,-0.2,4.4,8.4,11.9,14.8,14.6,10.4,6.0,1.2,-2.4
51,Niğde,Ortalama Güneşlenme Süresi (saat),3.8,4.9,5.7,6.9,8.4,10.3,11.5,11.1,9.9,7.4,5.4,3.8
51,Niğde,Ortalama Yağışlı Gün Sayısı,10.83,10.27,11.39,11.1,11.73,6.97,1.81,1.52,2.9,6.4,7.4,10.64
51,Niğde,Aylık Toplam Yağış Miktarı Ortalaması  (mm),35.4,33.0,36.1,41.2,48.1,28.7,5.2,6.7,10.6,25.9,31.1,41.0
51,Niğde,En Yüksek Sıcaklık (°C),19.9,20.5,26.4,30.8,33.0,35.0,38.5,39.7,37.3,32.0,25.0,21.2
51,Niğde,En Düşük Sıcaklık (°C),-25.6,-24.2,-23.9,-6.9,-2.6,3.5,6.6,6.5,-0.7,-6.2,-19.5,-24.0
52,Ordu,Ortalama Sıcaklık (°C),7.0,7.0,8.2,11.5,15.7,20.4,23.2,23.5,20.3,16.2,12.3,9.1
52,Ordu,Ortalama En Yüksek Sıcaklık (°C),11.0,11.1,12.2,15.3,19.3,24.1,26.8,27.4,24.4,20.3,16.6,13.2
52,Ordu,Ortalama En Düşük Sıcaklık (°C),4.0,4.0,5.2,8.4,12.5,16.8,19.6,20.1,17.0,13.1,8.9,6.0
52,Ordu,Ortalama Güneşlenme Süresi (saat),2.5,3.1,3.3,4.4,5.6,6.8,6.3,6.1,5.2,4.2,3.4,2.5
52,Ordu,Ortalama Yağışlı Gün Sayısı,14.27,13.81,15.47,14.25,13.55,11.34,9.77,9.78,11.86,14.23,12.95,14.34
52,Ordu,Aylık Toplam Yağış Miktarı Ortalaması  (mm),102.8,84.6,83.7,67.1,56.8,71.4,66.6,69.7,83.8,131.7,120.4,113.1
52,Ordu,En Yüksek Sıcaklık (°C),25.8,28.3,32.8,36.8,35.6,37.3,37.1,36.3,36.4,34.2,32.4,29.7
52,Ordu,En Düşük Sıcaklık (°C),-7.2,-6.7,-4.7,-1.4,3.4,8.4,12.6,13.0,8.2,2.5,-1.5,-3.2
53,Rize,Ortalama Sıcaklık (°C),6.8,6.8,8.1,11.7,16.0,20.3,22.9,23.3,20.3,16.4,12.3,8.8
53,Rize,Ortalama En Yüksek Sıcaklık (°C),10.7,10.8,11.9,15.4,19.4,23.6,26.0,26.6,24.0,20.4,16.5,12.9
53,Rize,Ortalama En Düşük Sıcaklık (°C),3.8,3.7,4.9,8.4,12.7,16.8,19.6,20.1,17.0,13.1,9.1,5.8
53,Rize,Ortalama Güneşlenme Süresi (saat),2.3,3.1,3.6,4.6,5.7,6.6,5.4,5.2,5.0,4.2,3.0,2.2
53,Rize,Ortalama Yağışlı Gün Sayısı,14.64,14.32,15.81,14.54,14.24,14.18,13.67,14.22,14.64,14.79,13.56,14.16
53,Rize,Aylık Toplam Yağış Miktarı Ortalaması  (mm),230.8,185.9,161.4,96.0,96.2,134.9,151.2,194.9,257.6,294.3,254.5,242.3
53,Rize,En Yüksek Sıcaklık (°C),26.6,28.1,32.6,35.8,38.2,36.1,35.4,35.6,35.0,33.8,30.4,26.7
53,Rize,En Düşük Sıcaklık (°C),-6.5,-6.6,-7.0,-2.8,4.0,7.8,12.0,13.4,4.6,2.5,-2.6,-4.0
54,Sakarya,Ortalama Sıcaklık (°C),6.2,6.8,8.7,12.9,17.4,21.4,23.5,23.4,19.8,15.6,11.8,8.3
54,Sakarya,Ortalama En Yüksek Sıcaklık (°C),9.9,11.2,13.8,19.0,23.6,27.6,29.5,29.6,26.4,21.5,16.9,12.1
54,Sakarya,Ortalama En Düşük Sıcaklık (°C),3.0,3.4,4.6,8.2,12.3,16.0,18.0,18.1,14.6,11.2,7.7,5.1
54,Sakarya,Ortalama Güneşlenme Süresi (saat),2.5,3.2,4.0,5.3,6.6,8.0,8.9,8.5,6.9,4.7,3.5,2.5
54,Sakarya,Ortalama Yağışlı Gün Sayısı,15.4,14.06,13.91,11.5,10.17,8.77,5.83,5.79,7.47,10.83,11.71,15.41
54,Sakarya,Aylık Toplam Yağış Miktarı Ortalaması  (mm),93.3,76.3,75.7,59.4,53.3,74.9,50.1,49.4,51.5,78.9,76.5,106.7
54,Sakarya,En Yüksek Sıcaklık (°C),26.5,28.7,31.9,35.8,38.0,40.4,44.0,41.8,40.7,38.6,30.2,28.5
54,Sakarya,En Düşük Sıcaklık (°C),-14.5,-13.5,-7.3,-2.4,2.0,6.1,8.7,7.8,5.4,-0.2,-6.6,-9.1
55,Samsun,Ortalama Sıcaklık (°C),7.2,7.2,8.0,11.3,15.6,20.3,23.2,23.7,20.3,16.5,12.8,9.5
55,Samsun,Ortalama En Yüksek Sıcaklık (°C),10.8,11.0,12.1,15.3,19.1,23.7,26.6,27.2,24.0,20.4,16.8,13.1
55,Samsun,Ortalama En Düşük Sıcaklık (°C),4.2,3.9,4.7,7.8,12.1,16.3,19.2,19.7,16.6,13.0,9.4,6.4
55,Samsun,Ortalama Güneşlenme Süresi (saat),2.7,3.2,3.6,4.7,6.3,8.3,8.9,8.2,6.3,4.7,3.8,2.7
55,Samsun,Ortalama Yağışlı Gün Sayısı,13.57,13.65,15.27,13.53,12.72,9.33,5.96,6.2,9.61,11.99,11.83,12.97
55,Samsun,Aylık Toplam Yağış Miktarı Ortalaması  (mm),72.9,59.3,67.7,57.2,49.1,47.4,34.9,37.1,54.6,79.2,83.0,80.8
55,Samsun,En Yüksek Sıcaklık (°C),24.2,26.5,33.6,37.0,37.4,37.4,37.5,39.0,38.7,38.4,32.4,28.9
55,Samsun,En Düşük Sıcaklık (°C),-8.1,-9.8,-7.0,-2.4,2.7,1.9,13.4,12.4,6.8,1.5,-2.8,-5.0
56,Siirt,Ortalama Sıcaklık (°C),2.7,4.3,8.4,13.9,19.5,26.0,30.7,30.4,25.6,18.3,10.6,4.9
56,Siirt,Ortalama En Yüksek Sıcaklık (°C),6.7,8.9,13.4,19.3,25.3,32.3,37.1,37.1,32.3,24.5,15.5,8.9
56,Siirt,Ortalama En Düşük Sıcaklık (°C),-0.5,0.6,4.1,9.0,13.7,19.1,23.5,23.3,18.9,12.8,6.5,1.7
56,Siirt,Ortalama Güneşlenme Süresi (saat),3.6,4.4,5.4,6.5,8.9,11.6,12.1,11.3,9.9,7.2,5.2,3.6
56,Siirt,Ortalama Yağışlı Gün Sayısı,12.33,11.91,14.14,12.94,10.15,3.14,0.66,0.64,1.58,7.06,8.92,11.41
56,Siirt,Aylık Toplam Yağış Miktarı Ortalaması  (mm),95.2,97.2,112.7,103.3,62.5,9.1,2.6,1.9,6.8,50.0,81.4,93.3
56,Siirt,En Yüksek Sıcaklık (°C),19.7,20.6,28.5,32.9,36.8,40.2,44.4,46.0,41.3,36.6,25.8,24.3
56,Siirt,En Düşük Sıcaklık (°C),-19.3,-16.5,-13.3,-4.1,2.0,8.2,13.1,14.4,8.5,0.3,-6.6,-14.6
57,Sinop,Ortalama Sıcaklık (°C),7.1,6.8,7.5,10.7,15.0,19.9,23.0,23.4,20.2,16.4,12.7,9.4
57,Sinop,Ortalama En Yüksek Sıcaklık (°C),9.8,9.7,10.6,14.1,18.3,23.1,26.0,26.4,23.2,19.3,15.6,12.2
57,Sinop,Ortalama En Düşük Sıcaklık (°C),4.7,4.3,5.0,8.0,12.2,16.9,19.9,20.4,17.4,13.8,10.1,6.9
57,Sinop,Ortalama Güneşlenme Süresi (saat),2.3,3.0,3.8,5.3,6.6,8.7,9.6,8.7,6.8,4.7,3.2,2.3
57,Sinop,Ortalama Yağışlı Gün Sayısı,15.3,13.41,13.68,11.24,10.19,7.77,5.27,6.02,8.85,12.13,12.45,15.34
57,Sinop,Aylık Toplam Yağış Miktarı Ortalaması  (mm),73.6,51.4,53.7,38.2,35.2,37.5,33.7,41.7,66.0,86.1,82.9,91.4
57,Sinop,En Yüksek Sıcaklık (°C),22.8,25.0,29.3,32.0,33.6,33.2,34.5,39.3,34.0,34.0,29.6,27.4
57,Sinop,En Düşük Sıcaklık (°C),-6.2,-7.5,-8.4,-0.4,-0.7,8.8,13.5,13.2,6.5,0.7,-1.2,-4.1
58,Sivas,Ortalama Sıcaklık (°C),-3.4,-2.1,2.7,9.0,13.5,17.0,20.0,20.2,16.2,11.0,4.8,-0.6
58,Sivas,Ortalama En Yüksek Sıcaklık (°C),0.9,2.6,8.1,15.3,20.1,24.1,27.8,28.6,24.7,18.6,10.9,3.7
58,Sivas,Ortalama En Düşük Sıcaklık (°C),-7.3,-6.2,-2.1,3.1,6.9,9.6,11.7,11.8,8.1,4.2,-0.2,-4.3
58,Sivas,Ortalama Güneşlenme Süresi (saat),2.6,3.6,4.8,6.3,8.1,10.5,11.9,11.4,9.4,6.5,4.2,2.5
58,Sivas,Ortalama Yağışlı Gün Sayısı,12.93,12.13,13.33,13.33,13.9,8.76,2.4,2.04,4.22,7.72,9.3,12.17
58,Sivas,Aylık Toplam Yağış Miktarı Ortalaması  (mm),43.0,39.1,46.1,56.3,60.3,35.2,9.3,6.7,17.8,33.0,40.2,44.1
58,Sivas,En Yüksek Sıcaklık (°C),18.6,18.1,25.2,29.0,33.5,35.5,40.0,39.9,37.0,30.5,24.0,19.4
58,Sivas,En Düşük Sıcaklık (°C),-31.2,-34.4,-27.6,-11.0,-5.5,-0.6,3.0,3.2,-3.8,-9.0,-24.4,-30.2
59,Tekirdağ,Ortalama Sıcaklık (°C),4.9,5.5,7.3,11.7,16.7,21.1,23.7,23.9,20.3,15.7,11.3,7.3
59,Tekirdağ,Ortalama En Yüksek Sıcaklık (°C),8.1,9.0,11.0,15.7,20.6,25.3,28.1,28.3,24.5,19.5,14.8,10.5
59,Tekirdağ,Ortalama En Düşük Sıcaklık (°C),2.0,2.5,4.1,8.1,12.7,16.7,19.1,19.4,16.2,12.1,8.2,4.4
59,Tekirdağ,Ortalama Güneşlenme Süresi (saat),2.8,3.4,4.2,6.0,7.4,8.5,9.4,8.4,6.8,4.9,3.2,2.5
59,Tekirdağ,Ortalama Yağışlı Gün Sayısı,12.3,10.51,10.71,9.5,8.29,7.31,3.56,2.44,4.56,7.49,9.46,11.99
59,Tekirdağ,Aylık Toplam Yağış Miktarı Ortalaması  (mm),68.0,54.5,53.4,42.1,37.2,38.3,23.8,15.5,32.7,60.2,74.3,80.0
59,Tekirdağ,En Yüksek Sıcaklık (°C),23.9,24.7,28.1,34.3,33.8,40.2,38.4,39.4,39.7,35.1,28.2,23.5
59,Tekirdağ,En Düşük Sıcaklık (°C),-13.5,-13.3,-10.4,-1.2,2.7,8.6,10.9,11.0,3.7,-1.8,-7.8,-10.9
60,Tokat,Ortalama Sıcaklık (°C),1.9,3.6,7.4,12.5,16.4,19.7,22.1,22.4,18.9,13.8,8.0,3.8
60,Tokat,Ortalama En Yüksek Sıcaklık (°C),6.3,8.5,13.2,19.2,23.6,26.9,29.1,29.9,26.7,20.8,13.8,8.0
60,Tokat,Ortalama En Düşük Sıcaklık (°C),-1.6,-0.6,2.5,6.6,10.2,13.3,15.6,15.8,12.3,8.3,3.5,0.4
60,Tokat,Ortalama Güneşlenme Süresi (saat),2.7,3.7,4.6,6.1,7.2,7.8,8.4,9.1,8.2,5.6,4.0,2.5
60,Tokat,Ortalama Yağışlı Gün Sayısı,10.75,10.06,11.92,12.01,13.15,8.76,2.78,2.36,4.68,7.58,8.88,10.92
60,Tokat,Aylık Toplam Yağış Miktarı Ortalaması  (mm),42.6,34.2,43.1,53.5,58.6,41.5,12.0,8.6,19.4,35.6,41.6,44.3
60,Tokat,En Yüksek Sıcaklık (°C),21.9,22.8,31.1,35.1,37.2,39.8,45.0,40.8,40.7,35.3,30.8,26.0
60,Tokat,En Düşük Sıcaklık (°C),-23.4,-22.1,-21.2,-6.3,0.0,2.7,6.1,6.7,2.4,-3.2,-11.8,-21.0
61,Trabzon,Ortalama Sıcaklık (°C),7.5,7.3,8.4,11.8,15.9,20.2,23.0,23.5,20.5,16.7,13.1,9.6
61,Trabzon,Ortalama En Yüksek Sıcaklık (°C),10.9,10.8,12.0,15.6,19.2,23.2,26.0,26.6,23.8,20.1,16.6,13.1
61,Trabzon,Ortalama En Düşük Sıcaklık (°C),4.7,4.4,5.5,8.7,12.9,17.1,20.0,20.5,17.4,13.7,10.1,6.8
61,Trabzon,Ortalama Güneşlenme Süresi (saat),2.7,3.3,3.4,4.4,5.6,7.1,5.9,5.6,4.9,4.5,3.6,2.7
61,Trabzon,Ortalama Yağışlı Gün Sayısı,12.15,11.99,13.24,12.87,12.66,10.73,7.9,8.61,10.74,12.18,11.8,12.36
61,Trabzon,Aylık Toplam Yağış Miktarı Ortalaması  (mm),82.5,64.4,59.8,57.3,52.4,52.1,35.8,47.7,78.4,113.3,100.5,84.7
61,Trabzon,En Yüksek Sıcaklık (°C),27.0,30.1,35.2,37.6,38.2,36.7,37.0,38.2,37.9,33.8,32.8,26.4
61,Trabzon,En Düşük Sıcaklık (°C),-7.0,-7.4,-5.8,-2.0,4.2,9.2,11.0,13.5,7.3,3.4,-1.6,-3.3
62,Tunceli,Ortalama Sıcaklık (°C),-1.9,-0.1,5.6,11.8,16.8,22.4,27.1,26.8,21.6,14.6,6.9,1.1
62,Tunceli,Ortalama En Yüksek Sıcaklık (°C),3.1,5.2,11.4,18.3,24.1,30.1,35.1,35.5,30.7,22.9,13.7,5.8
62,Tunceli,Ortalama En Düşük Sıcaklık (°C),-5.4,-4.0,1.1,6.2,10.1,14.5,18.9,18.5,13.4,8.2,2.1,-2.2
62,Tunceli,Ortalama Güneşlenme Süresi (saat),3.4,4.3,5.3,6.5,8.4,10.8,11.6,10.7,9.2,6.7,5.0,3.2
62,Tunceli,Ortalama Yağışlı Gün Sayısı,12.03,11.88,13.39,13.56,12.41,5.19,1.5,1.3,2.67,8.19,9.41,11.88
62,Tunceli,Aylık Toplam Yağış Miktarı Ortalaması  (mm),129.7,105.2,116.5,104.8,72.0,18.0,5.1,4.7,16.7,63.5,102.1,134.7
62,Tunceli,En Yüksek Sıcaklık (°C),14.2,19.4,26.0,32.2,36.6,39.0,43.5,43.5,40.3,35.6,27.0,21.7
62,Tunceli,En Düşük Sıcaklık (°C),-30.3,-29.0,-24.7,-7.1,-0.1,1.0,9.2,7.7,2.6,-4.0,-16.4,-25.6
63,Şanlıurfa,Ortalama Sıcaklık (°C),5.6,7.1,10.9,16.3,22.3,28.1,32.0,31.6,27.2,20.6,13.2,7.6
63,Şanlıurfa,Ortalama En Yüksek Sıcaklık (°C),10.0,12.0,16.4,22.4,28.8,34.7,38.8,38.4,34.0,27.1,18.8,12.1
63,Şanlıurfa,Ortalama En Düşük Sıcaklık (°C),2.1,2.9,5.8,10.3,15.3,20.6,24.3,24.0,20.1,14.6,8.5,4.1
63,Şanlıurfa,Ortalama Güneşlenme Süresi (saat),4.1,5.1,6.4,7.8,10.0,12.1,12.3,11.3,10.0,7.9,5.8,4.0
63,Şanlıurfa,Ortalama Yağışlı Gün Sayısı,11.86,10.35,10.47,8.75,6.08,1.37,0.3,0.24,0.78,4.74,7.45,10.75
63,Şanlıurfa,Aylık Toplam Yağış Miktarı Ortalaması  (mm),86.3,68.1,65.3,48.9,27.0,4.3,2.0,3.5,4.6,25.6,45.2,79.6
63,Şanlıurfa,En Yüksek Sıcaklık (°C),21.6,25.5,29.5,36.4,40.4,44.1,46.8,46.2,43.9,37.8,30.8,26.0
63,Şanlıurfa,En Düşük Sıcaklık (°C),-10.6,-12.4,-7.3,-3.2,2.5,8.3,15.0,16.0,10.0,1.9,-6.0,-6.4
64,Uşak,Ortalama Sıcaklık (°C),2.3,3.3,6.1,10.9,15.6,19.9,23.4,23.5,19.2,13.7,8.4,4.3
64,Uşak,Ortalama En Yüksek Sıcaklık (°C),6.9,8.3,11.7,16.8,21.9,26.5,30.4,30.7,26.4,20.3,14.2,8.9
64,Uşak,Ortalama En Düşük Sıcaklık (°C),-1.2,-0.6,1.3,5.2,9.2,12.7,15.5,15.7,12.0,8.0,3.9,0.8
64,Uşak,Ortalama Güneşlenme Süresi (saat),3.9,4.6,5.5,6.8,8.8,10.9,11.8,11.3,9.7,7.3,5.3,3.8
64,Uşak,Ortalama Yağışlı Gün Sayısı,11.33,10.06,9.84,9.39,8.93,4.87,2.42,1.73,2.87,6.07,7.44,11.55
64,Uşak,Aylık Toplam Yağış Miktarı Ortalaması  (mm),73.4,66.7,58.0,50.9,48.0,27.2,16.5,12.6,18.6,42.2,58.9,84.6
64,Uşak,En Yüksek Sıcaklık (°C),18.3,23.6,27.0,30.0,34.5,36.6,40.2,41.9,36.6,32.6,26.6,21.8
64,Uşak,En Düşük Sıcaklık (°C),-19.9,-15.0,-12.5,-6.2,-1.0,2.9,7.4,6.8,2.0,-4.8,-11.8,-18.9
65,Van,Ortalama Sıcaklık (°C),-3.1,-2.5,1.7,7.8,13.2,18.3,22.3,22.2,17.9,11.4,4.9,-0.3
65,Van,Ortalama En Yüksek Sıcaklık (°C),2.0,2.7,6.6,12.9,18.6,24.0,28.3,28.5,24.4,17.4,10.3,4.6
65,Van,Ortalama En Düşük Sıcaklık (°C),-7.5,-7.0,-2.7,2.7,7.1,10.9,14.7,14.7,10.8,5.7,0.4,-4.5
65,Van,Ortalama Güneşlenme Süresi (saat),4.6,5.4,5.9,7.3,9.3,11.7,12.1,11.3,9.8,7.0,5.5,4.3
65,Van,Ortalama Yağışlı Gün Sayısı,10.12,9.88,12.27,12.2,11.07,5.09,1.96,1.31,2.32,8.33,8.98,9.87
65,Van,Aylık Toplam Yağış Miktarı Ortalaması  (mm),36.1,32.4,46.5,54.9,45.7,18.3,6.2,5.9,15.3,46.9,47.2,37.8
65,Van,En Yüksek Sıcaklık (°C),12.6,14.3,22.7,27.2,29.3,33.5,37.5,36.7,35.0,28.8,20.1,15.5
65,Van,En Düşük Sıcaklık (°C),-28.7,-28.2,-22.7,-13.1,-3.5,-2.6,3.6,5.0,-0.1,-14.0,-18.6,-21.3
66,Yozgat,Ortalama Sıcaklık (°C),-1.7,-0.6,3.0,8.5,13.1,16.7,19.6,19.8,15.9,10.8,5.1,0.7
66,Yozgat,Ortalama En Yüksek Sıcaklık (°C),2.2,3.7,8.1,14.0,18.9,22.7,26.0,26.5,22.7,17.0,10.4,4.6
66,Yozgat,Ortalama En Düşük Sıcaklık (°C),-5.3,-4.6,-1.5,3.2,7.4,10.5,12.9,13.1,9.5,5.4,0.7,-2.6
66,Yozgat,Ortalama Güneşlenme Süresi (saat),3.0,4.1,5.1,6.3,7.9,9.7,10.8,10.5,8.8,6.5,4.7,3.0
66,Yozgat,Ortalama Yağışlı Gün Sayısı,13.51,12.7,13.48,12.81,13.46,9.24,2.99,2.3,3.87,7.19,8.91,13.29
66,Yozgat,Aylık Toplam Yağış Miktarı Ortalaması  (mm),68.0,59.5,69.4,58.3,66.0,45.9,12.5,11.2,18.1,33.2,54.0,75.3
66,Yozgat,En Yüksek Sıcaklık (°C),15.4,18.5,25.0,29.5,31.4,33.4,38.8,37.4,35.4,30.1,22.9,18.2
66,Yozgat,En Düşük Sıcaklık (°C),-23.7,-24.4,-20.6,-12.6,-3.0,-0.4,3.0,3.7,-2.4,-6.8,-18.5,-20.2
67,Zonguldak,Ortalama Sıcaklık (°C),6.2,6.4,7.5,11.3,15.4,19.6,21.9,22.0,19.0,15.4,11.9,8.5
67,Zonguldak,Ortalama En Yüksek Sıcaklık (°C),9.3,9.6,10.9,14.9,18.9,23.1,25.2,25.4,22.5,18.8,15.3,11.7
67,Zonguldak,Ortalama En Düşük Sıcaklık (°C),3.6,3.5,4.6,8.1,12.2,16.0,18.1,18.3,15.5,12.3,8.9,5.8
67,Zonguldak,Ortalama Güneşlenme Süresi (saat),2.3,2.8,3.8,5.2,6.8,9.0,9.9,9.1,7.2,4.9,3.4,2.4
67,Zonguldak,Ortalama Yağışlı Gün Sayısı,18.06,15.84,15.27,12.2,10.91,8.79,6.65,6.86,8.44,12.34,13.71,17.44
67,Zonguldak,Aylık Toplam Yağış Miktarı Ortalaması  (mm),139.4,99.7,98.6,65.1,54.5,75.2,69.6,82.7,102.3,144.3,142.6,154.1
67,Zonguldak,En Yüksek Sıcaklık (°C),24.1,26.7,31.7,33.6,36.7,40.5,39.5,39.8,36.2,35.9,30.9,28.1
67,Zonguldak,En Düşük Sıcaklık (°C),-7.7,-8.0,-6.4,-2.1,3.0,8.8,11.2,10.0,5.9,1.8,-3.2,-7.4
68,Aksaray,Ortalama Sıcaklık (°C),0.5,2.0,6.4,11.5,16.2,20.2,23.5,23.3,18.8,13.4,7.3,2.7
68,Aksaray,Ortalama En Yüksek Sıcaklık (°C),5.5,7.5,12.5,18.1,23.1,27.1,30.7,30.8,26.7,21.0,13.8,7.8
68,Aksaray,Ortalama En Düşük Sıcaklık (°C),-3.6,-2.2,1.3,5.6,9.7,13.1,16.2,16.0,11.4,6.9,2.0,-1.3
68,Aksaray,Ortalama Güneşlenme Süresi (saat),3.2,4.5,5.6,7.0,9.0,11.0,12.1,11.4,9.7,7.1,5.0,3.2
68,Aksaray,Ortalama Yağışlı Gün Sayısı,9.88,9.93,10.67,10.55,10.38,6.29,1.55,1.46,2.78,5.46,7.12,10.48
68,Aksaray,Aylık Toplam Yağış Miktarı Ortalaması  (mm),40.2,34.8,41.1,45.6,43.3,29.4,7.0,5.3,12.1,23.3,31.7,45.9
68,Aksaray,En Yüksek Sıcaklık (°C),20.4,21.8,29.0,31.8,34.4,36.9,40.0,40.8,38.7,34.5,29.5,22.0
